n_holders,distribuicao,parametro_dist,n_candidatos,tamanho_comite,turnout,n_aprovacoes,n_blocos,frac_proxy,tam_cartel,orcamento_suborno,frac_exchange,frac_colludida,n_rodadas,vantagem_incumbencia,reinveste_recompensa,metrica,camada,n_runs,seed_base
200,pareto,1.5,80,11,0.5,15,5000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
200,pareto,1.5,80,11,0.5,15,5000,0.0,3,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
200,pareto,1.5,80,11,0.5,15,5000,0.0,6,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
200,pareto,1.5,80,11,0.5,15,5000,0.0,9,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
200,pareto,1.5,80,21,0.5,15,5000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
200,pareto,1.5,80,21,0.5,15,5000,0.0,3,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
200,pareto,1.5,80,21,0.5,15,5000,0.0,6,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
200,pareto,1.5,80,21,0.5,15,5000,0.0,9,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
200,pareto,1.5,93,31,0.5,15,5000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
200,pareto,1.5,93,31,0.5,15,5000,0.0,3,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
200,pareto,1.5,93,31,0.5,15,5000,0.0,6,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
200,pareto,1.5,93,31,0.5,15,5000,0.0,9,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
500,pareto,1.5,80,11,0.5,15,5000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
500,pareto,1.5,80,11,0.5,15,5000,0.0,3,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
500,pareto,1.5,80,11,0.5,15,5000,0.0,6,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
500,pareto,1.5,80,11,0.5,15,5000,0.0,9,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
500,pareto,1.5,80,21,0.5,15,5000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
500,pareto,1.5,80,21,0.5,15,5000,0.0,3,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
500,pareto,1.5,80,21,0.5,15,5000,0.0,6,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
500,pareto,1.5,80,21,0.5,15,5000,0.0,9,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
500,pareto,1.5,93,31,0.5,15,5000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
500,pareto,1.5,93,31,0.5,15,5000,0.0,3,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
500,pareto,1.5,93,31,0.5,15,5000,0.0,6,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
500,pareto,1.5,93,31,0.5,15,5000,0.0,9,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
1000,pareto,1.5,80,11,0.5,15,5000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
1000,pareto,1.5,80,11,0.5,15,5000,0.0,3,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
1000,pareto,1.5,80,11,0.5,15,5000,0.0,6,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
1000,pareto,1.5,80,11,0.5,15,5000,0.0,9,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
1000,pareto,1.5,80,21,0.5,15,5000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
1000,pareto,1.5,80,21,0.5,15,5000,0.0,3,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
1000,pareto,1.5,80,21,0.5,15,5000,0.0,6,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
1000,pareto,1.5,80,21,0.5,15,5000,0.0,9,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
1000,pareto,1.5,93,31,0.5,15,5000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
1000,pareto,1.5,93,31,0.5,15,5000,0.0,3,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
1000,pareto,1.5,93,31,0.5,15,5000,0.0,6,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
1000,pareto,1.5,93,31,0.5,15,5000,0.0,9,0.0,0.0,0.0,1,0.0,0.0,cartel_break_even;margem_limiar;peso_cartel;hhi,stake;eleito;produzido,30,3100
