id_execucao;id_cenario;n_holders;distribuicao;parametro_dist;n_candidatos;tamanho_comite;turnout;n_aprovacoes;n_blocos;frac_proxy;tam_cartel;orcamento_suborno;frac_exchange;frac_colludida;n_rodadas;vantagem_incumbencia;reinveste_recompensa;metrica;camada;n_runs;seed_base;media;ic95
20260709_122851;1;200;pareto;1.5;80;11;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;stake;30;3100;12.73333333;2.12834440
20260709_122851;1;200;pareto;1.5;80;11;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;eleito;30;3100;3.00000000;0.09397481
20260709_122851;1;200;pareto;1.5;80;11;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;produzido;30;3100;3.03333333;0.06533333
20260709_122851;1;200;pareto;1.5;80;11;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;stake;30;3100;0.33333333;0.00000000
20260709_122851;1;200;pareto;1.5;80;11;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;eleito;30;3100;0.33333333;0.00000000
20260709_122851;1;200;pareto;1.5;80;11;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;produzido;30;3100;0.33333333;0.00000000
20260709_122851;1;200;pareto;1.5;80;11;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;stake;30;3100;0.00000000;0.00000000
20260709_122851;1;200;pareto;1.5;80;11;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;eleito;30;3100;0.00000000;0.00000000
20260709_122851;1;200;pareto;1.5;80;11;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;produzido;30;3100;0.00000000;0.00000000
20260709_122851;1;200;pareto;1.5;80;11;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;hhi;stake;30;3100;0.05225618;0.05733723
20260709_122851;1;200;pareto;1.5;80;11;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;hhi;eleito;30;3100;0.10097103;0.00168552
